代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
000970,中科三环,10.65,1.04,0.11,-0.47,0.13,4.57,--,1470.34万,10.65亿,113.44亿,135.87
300712,永福股份,28.37,1.03,0.29,0.96,0.01,0.76,--,57.59万,1.82亿,51.66亿,104.33
603133,碳元科技,11.77,1.03,0.12,0.17,0.03,2.76,--,75.68万,2.09亿,24.62亿,亏损
002668,奥马电器,5.91,1.03,0.06,0.34,0.03,1.20,--,169.85万,8.46亿,49.98亿,25.41
300674,宇信科技,35.61,1.02,0.36,0.99,0.01,0.43,--,66.23万,2.76亿,98.32亿,32.39
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300335,迪森股份,4.96,1.02,0.05,1.64,0.06,1.34,--,88.59万,2.82亿,14.01亿,34.57
688268,华特气体,61.50,1.00,0.61,-0.63,0.03,0.99,--,52.40万,3237.06万,19.91亿,69.99
300681,英搏尔,31.25,1.00,0.31,1.00,0.03,2.08,--,39.06万,4083.75万,12.76亿,201.20
002833,弘亚数控,60.60,1.00,0.60,-0.66,0.07,2.58,--,558.13万,1.23亿,74.54亿,37.42
603516,淳中科技,36.36,1.00,0.36,-0.08,0.01,1.03,--,59.27万,1.32亿,47.87亿,43.14
688019,安集科技,283.99,0.99,2.79,-0.35,0.02,0.54,--,139.58万,2988.42万,84.87亿,98.43
002592,ST八菱,3.06,0.99,0.03,-0.97,0.01,1.33,--,12.15万,2.61亿,8.00亿,亏损
300486,东杰智能,15.40,0.98,0.15,-0.65,0.00,0.34,--,4.93万,2.45亿,37.79亿,56.79
300573,兴齐眼药,102.98,0.98,1.00,0.98,0.03,1.19,--,179.19万,6051.97万,62.32亿,118.39
002621,美吉姆,5.17,0.98,0.05,-1.71,0.00,0.76,--,8.58万,7.93亿,41.02亿,31.40
600522,中天科技,11.40,0.97,0.11,0.09,0.03,1.69,--,943.46万,30.66亿,349.54亿,16.56
002787,华源控股,6.23,0.97,0.06,0.65,0.01,0.61,--,9.59万,1.87亿,11.62亿,48.03
600198,大唐电信,6.44,0.94,0.06,0.00,0.03,1.29,--,159.78万,8.80亿,56.70亿,亏损
300139,晓程科技,8.67,0.93,0.08,-0.69,0.04,0.66,--,86.79万,2.27亿,19.68亿,亏损
300767,震安科技,76.00,0.93,0.70,-1.17,0.01,0.41,--,38.00万,8258.68万,62.77亿,58.10
002458,益生股份,10.87,0.93,0.10,0.00,0.04,3.65,--,285.01万,6.76亿,73.45亿,117.24
