,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
214,梧州,,历史感满满的,1111217449,zLW973953927,4.5,2
215,重庆,1,很值得一看的电影，应该组织学生观看，对爱国教育的作用很大，可以塑造正确的价值观，让他们知道今天的一切幸福安稳是多么来之不易。强烈推荐！,1111217393,抽根烟先,5.0,3
216,长春,1,军人真的牛逼,1111137515,河调,5.0,2
217,合肥,,一寸山河一寸血，十万青年十万军,1111215527,九歌zxy,5.0,4
218,昆山,,没看懂，就是桥,1111213838,芳even,2.5,2
219,西安,,满意，很好的,1111137512,郭玥554,5.0,2
220,银川,1,太震撼了，视觉冲击太强,1111205019,YLIMHS,5.0,1
221,上海,,不能不让别人的生命,1111205018,疁西桥,0.5,3
222,芜湖,1,很好看，也很震撼，致敬英雄,1111205008,钰煕,4.5,3
223,赣州,,影片特别好看真的特别好看，非常推荐大家去看，看哭了。（但是为什么4D影院在英雄被飞机扫射的时刻会呲水！）,1111217301,一僎还泪,5.0,3
224,昆明,,一般般，感觉演的不太好看,1111217293,VoY850529566,2.5,2
225,南京,,还可以，振奋人心的,1111197378,卖地瓜的男孩,3.5,1
226,宝应,,还不错，值得一看,1111217274,IYP633035112,4.5,2
227,上海,2,非常的好看，场景非常震撼,1111217250,朦胧欣雨,5.0,2
228,江阴,1,好看很精彩哦,1111215413,HYZWY1314520,5.0,3
229,张家口,1,牛逼你在哪睡觉就是,1111216160,就tm你叫小刘啊,5.0,2
230,广州,,还可以还可以,1111191866,PmO335869013,3.0,2
231,南宁,1,有点像明日边缘，一直复活一直复活。。。一个剧情一直重复一直重复，在重复第三次的时候我睡着了(-_-) zzz,1111213675,O注视你O,2.5,3
232,沈阳,,重复片段太多,1111215353,凯小吃货,2.5,2
233,北京,,非常好看的一次爱国主义教育！！！！！,1111188967,mfr694867342,4.5,3
234,南京,,哪来的这么多好评，吐了。,1111216123,可可汪汪,0.5,1
235,苏州,1,相对八佰而已，这个整体来说差一点那个感觉，也是值得看一看的电影。,1111215279,右边_格子,4.0,2
236,南昌,,阿西吧啾啾啾,1111215272,干豆角炒鸡,4.0,1
237,长春,1,看了一遍有点看不懂，也许要看不止一遍才能看懂吧，分镜头太多了，插叙方式播放的，逻辑思维较强才能一遍看懂，不听演员演技绝对没得说，张译，吴京，很喜欢他们！！！加油吧！！！,1111213564,表态.,4.0,1
238,永丰,,还不错，下次有时间继续看,1111217016,Azu346066792,5.0,2
239,宜昌,1,一直重复一直重复人都烦了，看的最差的一部电影，倒序分插也不是这么个重复法，导演是真垃圾，编剧也垃圾，各位别入坑,1111187227,你好，再见。,0.5,1
240,南宁,,很不错，值得观看,1111212983,乐儿（烨）,5.0,3
241,上海,,不错～ 值得一看,1111212965,浪味奥利奥,5.0,2
242,淮南,1,挺好看的，咳咳,1111187216,SSD陶磊,4.5,3
243,三亚,2,不好看，特别不好看,1111214259,心由你珍藏,0.0,2
244,瑞安,1,影片还行可以看看,1111211939,我只在乎你8078,3.5,2
245,贵阳,1,好好用的一年,1111214248,jfJ976763948,5.0,1
246,太原,,历史感和厚重感兼具，值得一看,1111212859,ilydia31,5.0,1
247,深圳,,一般一搬吧！,1111214209,Hff991,3.5,2
