,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
122,广州,,好看，很喜欢刘亦菲，想起了儿时木兰的最初印象,1107838082,Zj人在江湖,5.0,1
123,烟台,1,不错，值得推荐一下→_→,1107812844,冰色糖葫芦,4.5,4
124,成都,1,下片了么？还没来得及看勒,1107833939,雷凯,5.0,4
125,常州,2,以为是木兰代父从军，其实是编外。小朋友要看的，就随便看看吧,1107828890,liwentingmt,4.0,2
126,靖江,2,还行吧，中年人的无奈和挣扎,1107829593,SZ阿静,3.5,3
127,安庆,1,可以，很不错的,1107802953,西西可里_,5.0,4
128,贵阳,,太烂了啊！！,1107805662,mimosa112,0.5,1
129,桐乡,2,还行吧，这部剧,1107810214,yKp442404208,5.0,3
130,沈阳,,谁看谁后悔，,1107781736,bsX6996269,1.0,2
131,慈溪,,都没去看！咋知道好不好！58分钟就不能退了！坑,1107799095,黄央炯456,0.5,3
132,福鼎市,2,半颗星给辛苦看完电影的观众。,1106755200,不是然然,0.5,2
133,上海,2,是一部不一样的花木兰，,1107792054,yu900618,3.5,2
134,合肥,,无论网评怎么样 宣扬中国风采就是一个好的作品！,1107752155,是甜天阿.,5.0,1
135,吕梁,,只有中国人才能拍好中国故事。真人片如此，动漫作品也亦然。《木兰：横空出世》虽是动画电影，却真正展现出中华文化的神髓和精义。影片在故事层面有创意；人物形象易让观众喜欢和接受，甚至可以说是惊艳；在制作上技术精良，中华美学精神处处可见。,1106641805,大亲爱。,5.0,2
136,北碚,2,电影不错哦，小孩喜欢看,1107733703,zhaojiexie,4.5,2
137,西安,,这个电影丰富了花木兰这个任务在我这种的形象！非常值得一看！,1107728938,小丑般的玩家,5.0,2
138,嘉兴,,好看的呀批，大家喜欢的可以看起来了,1107753431,uoe446295995,5.0,1
139,徐州,,非常不错的一部片。和女朋友一块儿去看的，都比较喜欢，大赞大制作。,1107751363,莘枂rrr,5.0,1
140,怀化,,很好看的一部电影，中国人自己拍的就是感觉不一样，很好看哦，大家都来看。,1107750093,UNX179098536,5.0,2
141,临沂,,太好看了好喜欢啊好看,1107742758,Tcm556534356,5.0,2
142,吉林,1,国产动漫越来越好了，看了哪吒和姜子牙，这个同样很好👍,1107748165,锋1138,5.0,2
143,武汉,1,很不错的片子，适合一家人去看，画质很好！,1107747129,王刚1388,5.0,2
144,九江,2,男主主和女主的演技都好到炸裂裂，剧情非常常精彩很好好看,1107747059,花街良人,5.0,1
145,北京,2,孩子喜欢看   ,1107718885,kj520202,5.0,3
146,锦州,2,支持国产动漫,1107741235,米粒妈妈0112,4.5,2
147,奉节,,看了几分钟就想睡觉了,1107729034,THE833867579,0.5,3
148,郑州,,整体感觉很不错,1107661156,则缨,5.0,2
149,武汉,1,好看，剧情不错,1107719737,鸢语慕郡年,3.5,3
150,天津,,孩子同学都喜欢！不错！,1107707417,Yzb221480184,5.0,2
