,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
181,丹阳,,总体还好，就是片尾处理欠缺,1111131675,dnv327900551,4.5,2
182,成都,,还行      ,1111150633,Uni615075686,2.5,2
183,哈尔滨,,不喜欢这种类型的,1111147818,胡秋实.,5.0,2
184,宿迁,,很久之后才来评论 还是能回想起来女主跳舞的时候的惊艳 剧情也不错 ,1111125181,小魏睡醒了,4.0,2
185,青岛,,很好看(｡･ω･｡)ﾉ♡,1111133381,苏瑜不是酥鱼,4.0,2
186,济南,,挺好看的不错,1111147492,wcY146691632,4.5,2
187,通辽,,没什么感觉，替换的次数太多了，有点麻木。,1111134369,iPZ218235198,3.5,2
188,郑州,,情节感人，内容不错,1111143893,QbK252784143,4.5,3
189,沈阳,,一个人看的，总之特别好。,1111146522,xol389838595,5.0,2
190,佛山,,我在时间尽头等你，等你的人是我😂😂，有笑点也有泪点。,1111145460,QFr509590102,5.0,2
191,滕州,2,剧情好感人～,1111147186,快乐静心缘,4.5,1
192,石家庄,,好看，很好看,1111145380,不过如此877,5.0,2
193,宝鸡,,没下一次了！,1111131313,UQs674095094,0.5,2
194,长沙,,还行吧，！n,1111144566,你的宝贝很nice.,3.5,2
195,武安,,还行吧 ，，,1111070367,温柔都给洁洁,4.0,2
196,淄博,1,"快要睡着了
",1111134223,铁蛋的往事,2.5,3
197,青岛,,没啥感觉。。,1111145201,hCg861111940,2.0,1
198,芜湖,,很不错我觉着,1111143514,艳艳脸肥肥,4.5,2
199,苏州,1,一般，没有感触,1111131190,我是小跟班i,2.5,2
200,广州,,还可以，看着看着，后面困了，女朋友说挺好看,1111133101,是你的浩丫,4.0,1
201,南京,2,还行8888,1111140948,刘阿酸,3.5,2
202,义乌,1,好看非常好看,1111144143,Sun涛涛涛,5.0,2
203,郑州,,555555看的快哭了,1111139703,何止emmmm,5.0,2
204,东莞,1,是我美好时光的开始。,1111141350,LMH丿,4.5,2
205,绵阳,,好看，就是有点悲伤,1111112950,ewh996396692,4.5,2
206,成都,,一般般吧，。。,1111114866,Bfs705387019,3.5,3
207,日照,,数学化学奖大奖,1111135854,宇g的未来,5.0,2
208,青州,2,还不错，适合恋人看,1111140179,何槿墨,4.5,1
209,武汉,,感觉还行，穿越的不错,1111136468,sIS658625784,4.0,2
210,齐齐哈尔,1,这是啥了干啥啊,1111121232,GFQ666666,4.0,2
211,凤台,2,当时是和他一起去看的 现在他不在我身边了 这部电影有好多我们的回忆,1111138157,사랑주옥,5.0,1
212,金华,2,一般般感觉，,1111129951,Kathleen0531,2.5,2
213,杭州,,emmmmm,1111130833,YnC454173383,4.0,3
214,天津,,好看好看！！,1111129782,ezU473515144,4.5,2
215,广州,2,还行吧个人观点,1111130775,sleep,3.0,2
216,哈尔滨,,剧情一般般，,1111136062,往衷，,3.5,2
217,辽阳,1,泪点很低 一哭,1111129667,FRf762254683,5.0,2
218,阜阳,,好哭，感人，推荐,1111114618,INW117891146,5.0,2
219,温州,1,还行吧……，,1111129591,rkq43280323,5.0,2
220,深圳,,这是跟我女朋友第一次看的电影,1111128928,壹颗訫只為伱跳動,4.5,2
221,长沙,,有点看不懂剧情,1111114588,dKA479059138,3.5,2
222,沭阳,,爱你的人永远都在,1111130549,Njq876504114,5.0,1
223,合肥,1,很好看，强烈推荐,1111128867,Ith732236776,5.0,2
224,玉林,,哭着看完的，哈哈哈哈哈操，好感动,1111111554,lnq396604009,5.0,2
225,忻州,2,很感人，哭了好多次,1111130404,Fvu899404150,4.5,2
226,重庆,,剧情猜完了..,1111093622,三無1123,2.5,3
227,大连,,炒的挺热实际一般般,1111130383,Zqd528509222,2.5,2
228,安吉,,蛮好看的😊😊 ,1111112511,PBJ宝宝,4.5,1
229,潮州,,不错的电影………………,1111132363,lQn145568049,5.0,2
230,河源,,非常好非常好,1111129277,糗颠,4.5,2
231,长春,,挺不错的，👍,1111132279,zqy9230,4.5,1
232,邢台,2,特别好看。值得推荐,1111128455,英子7825,5.0,2
233,郑州,,想哭没哭出来,1111126990,ISn834726850,5.0,2
234,驻马店,,🉑️🉑️🉑️🉑️🉑️🉑️🉑️,1111128221,wuli涵.,5.0,2
235,上虞,2,爱，不俱时间，无论任何时空不会忘了愛你,1111114254,summer的天空99,5.0,2
236,大同,,可以推荐着看看,1111111311,MUC813209431,5.0,2
237,常州,,一般般吧，不是很好看,1111123444,ZuF616674135,2.5,2
238,成都,2,"“好奇怪啊，总感觉这瞬间好像在哪经历过，咱们是不是在哪见过啊”
这个世界说大不大,说小不小,大到邱倩重生后过了很久才遇见林格,小到邱倩随意走进一家店就遇见了林格；
“这一次换我守护你，直到时间的尽头”结尾或许会喷但是怎么说呢女主也属于在回答男主之前付出的答案.
""邱倩的生命早该结束在十八岁的时候是林格把时间给了她”
",1111111176,私有物,4.0,1
239,银川,1,哈哈哈。终究,1111122843,康康啊,4.5,1
240,惠阳,2,嗯……和看这个电影的人分手了,1111124093,把心动藏好.,5.0,2
