,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
329,临汾,2,"发人深省，很不错
",1110854686,yarui123,4.5,1
330,西安,2,好看的，不错,1110875215,Elinor桃花,5.0,1
331,贵阳,2,从头哭到尾，超级现实超级感动😹,1110870995,范围fanwei,5.0,1
332,福州,1,触动内心深处，很有深意,1110873261,岁影梦～,5.0,2
333,兰州,,很好看，很感人。富有人生哲理，令人深思。,1110874081,CxR735053938,5.0,2
334,惠州,2,不错，可以看看,1110861062,aFr727889489,4.5,2
335,北京,2,看完很有感触,1110854471,李佳5709,5.0,2
336,泰安,2,非常非常好看,1110871190,执念Korn,4.5,1
337,营口,2,😄😄😄😄😄,1110869759,雅清742,4.5,3
338,长春,1,还是不困哦刚刚零零后,1110867505,MoC78176917,4.5,1
339,深圳,1,社会现实批判题材，非常好！,1110866182,陳煉,5.0,1
340,广州,,在影院差点哭死,1110815996,帆布酱大人,5.0,2
341,成都,2,故事很感人！情节一波三折最后把我哭成土拨鼠了呜呜呜呜呜呜呜,1110867223,你看我睡醒了吗,5.0,2
342,哈尔滨,2,好看特别感人,1110860739,tbP973182153,5.0,2
343,乐清,,超级超级喜欢,1110858561,tda141582724,4.0,2
344,长春,,很感人，关谷的一个很好的代表作,1110864281,FWO224494659,5.0,1
345,宜兴,,挺好看的。    ,1110843230,莫言zxc,4.5,2
346,桐乡,1,真的是太好看了,1110853603,YRj136754769,4.5,1
347,南京,2,非常好看，不错,1110857086,踏平东京de吖頭,4.5,1
348,西安,1,挺好看的，很喜欢徐峥拍的电影,1110842065,奶茶很甜TT,4.5,1
349,深圳,,挺好看的，，，,1110826830,特困生e,5.0,2
350,潍坊,2,上映的时候就看了，真的是个好片子,1110826828,葛忠丽98,5.0,3
351,杭州,,差点就在一起了,1110826783,uvb429691909,5.0,1
352,沭阳,,啦！！！！嗯ヽ(○^㉨^)ﾉ♪,1110840724,cbj240888861,5.0,2
353,苏州,,不错，很感人！超级推荐,1110817931,yangyw1202,4.0,1
354,武汉,1,超级喜欢沈腾,1110839538,斩梦413,5.0,1
355,阳江,,好看。。。。,1027683063,AN,5.0,2
356,青岛,,好看，服务周到,1110785906,qdhdmff,5.0,1
