,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
171,泰安,2,看过预告看了很多抖音幕后花絮，加上国师亲写的，电影人的浪漫～我是被感动了，带着妈妈去看的，七分是妈妈哭了，说那是她的青春，我个人看完真的没有太大感觉！因为文革背景隐晦删减了一部分内容:所以电影前后不是很通畅，其次没看出里面的人爱电影，范伟是为了工作，张译是为了看女儿一秒，刘浩存是为了偷胶片沾电灯罩，所以我个人看起来是感觉有点乏味！,1111217450,崔果果果果,3.5,2
172,徐州,,张译和小演员的演技超棒，赞赞赞,1111191937,梦梦子184,4.5,2
173,天津,,代入感太强最后扔照片真是气到我了,1111205045,BXZ312068972,4.5,2
174,南通,2,我文化底子不够，没觉得多好看,1111217344,💝啵儿☀,3.5,3
175,北京,1,应该不是本来的样子,1111217315,_qqhcx1353058726,4.5,2
176,银川,2,故事性还是弱于画面感，但是很好看，一秒钟，不够!,1111214572,木棉,5.0,3
177,泉州,,嗯张艺谋导演的一秒钟感人,1111217262,余生共勉lxr,4.0,2
178,重庆,,很好看。。。,1111191880,鳖666,5.0,2
179,郑州,1,我不知道张导想用这部电影表达一个什么主题！？？父女情？亲情？难道删掉的才是精华？,1111216186,蓝天鹰眼503,3.0,2
180,北京,,刘浩存的笑我可以打100分,1111213731,sYJ501932335,5.0,4
181,株洲,,浅薄的我说不出什么高大上的文字，我觉得还不错,1111191870,COCONUTSzs,3.5,2
182,杭州,,找回了童年的记忆,1111214511,fdo970014663,4.5,4
183,北京,,非常满意的一次观影！非常好看的电影！,1111217143,mfr694867342,5.0,3
184,咸阳,2,作为老谋子的新片，是迫切想看的。画面依然很美，大气而壮观。故事很简单，就是讲了一个父亲对女儿的浓浓思念，一秒钟里女儿的镜头让父爱呈现了人性般的表达。真实而感人！,1111188939,雅心,3.0,2
185,鹤壁,1,男主太强了啊啊啊啊,1111187247,薇C薇C,5.0,2
186,上海,,拍得非常好的，最后是两个崭新的人开始新的生活。很温暖的故事！,1111197317,iGz198253321,5.0,2
187,沈阳,1,张译演技炸裂，把父亲对女儿的那种愧疚与思念演绎得淋漓尽致，从看待刘闺女的眼神变化里充满了父爱，刘闺蜜扮演者最后的亮相真的惊艳了我，表现的很清新很脱俗,1111213574,Jesse_fly,4.5,2
188,海宁,,电影很不错，很有沉浸感。虽然离那个年代好远了，但是觉得很有味道。,1111216049,unQ168768690,5.0,2
189,江阴,2,看过最难看的电影没有之一,1111191811,KPe972246879,0.5,3
190,北京,2,挺好看的，女主角给人印象很深,1111215231,onion198466,5.0,1
191,葫芦岛,1,真好看 喜欢文艺的爱看,1111215191,别闹儿,5.0,1
192,长沙,,我真的很喜欢,1111215172,张纽蔻,5.0,3
193,日照,,不错啊李健我喜欢😘,1111191790,对月光说晚安,5.0,3
194,宝鸡,,不错，好看。珍惜幸福生活。,1111212950,HrU933350419,5.0,2
