,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
130,深圳,1,这电影值得一看,1111187673,_qq5zt1398505598,5.0,2
131,广州,,很好看，棒棒哒！,1111187663,杨美女ya,4.0,2
132,漳州,,还行，拍摄比较新颖,1111218173,vRW923318477,3.5,2
133,成都,,好看，值得去看,1111210643,mis437948455,5.0,2
134,深圳,2,真心好看的国产电影，很多影视大咖，小题材好内容，内容比名字要惊喜好多,1111227778,羅508,5.0,1
135,泸州,,相当感人的故事。,1111227757,aoyonga,5.0,2
136,重庆,,可以的，合拍,1111227755,看有迴机,4.0,2
137,衡阳,,🥰🥰🥰🥰🥰🥰,1111229488,oJI785088977,4.0,2
138,漯河,,😄😄😄,1111230351,TuJ159716347,4.5,2
139,南京,2,非常好看，厉害了,1111205712,一个姑娘kk,4.5,1
140,宁波,1,一般般的说…,1111232078,皇甫宇驰,2.5,2
141,北京,,很好看   ,1111232076,Dam798304254,4.5,2
142,杭州,,各位超级大咖加入的阵营，演艺精湛，环境不错。,1111229395,sunxa792,4.0,1
143,毕节,,还不错嗯嗯嗯,1111205698,P.P.Y520,3.5,2
144,攀枝花,2,搞笑，好看，不错,1111230303,Lj幻聴,4.5,2
145,东阳,,看完很有感触,1111231141,yangli963444799,5.0,1
146,清远,1,好评！！满意,1111205683,tanwen67,5.0,1
147,天津,,好看不错 推荐,1111227555,XPr397178229,5.0,2
148,吉林,,"每段故事都很正能量
",1111206690,Lll82817,4.0,1
149,深圳,,还不错，值得大家去看,1111187615,jkB789176644,4.5,2
150,深圳,,好看！喜欢更爱葛优老师了,1111230204,QvR901238689,4.5,3
151,临沧,,很好看！！！,1111231067,关于雨妹,5.0,2
152,库尔勒,, 完美～怎么夸赞呢 夸一下超超,1111229259,loveyou酷,5.0,3
153,温州,,还可以，几个小故事,1111231052,Voy992928016,4.5,2
154,无锡,,看得我热血澎湃,1111229247,TXq65145841,5.0,1
155,梧州,,很感动！很励志！,1111229224,oxe282195836,4.5,2
156,郑州,,"完美
很完美",1111229220,Rrm922756070,5.0,2
157,荆州,2,好评！电影很好看。,1111218027,vivienne2004,4.5,1
158,永安,,😁😁😁,1111223995,QMp823098074,5.0,3
159,中宁县,,害.太乱了，时间好长,1111224881,琬晚~,4.0,1
160,薛城,1,还不错啊，带儿子一起看的,1111187598,_qqt2c1392022503,4.0,1
161,璧山,,还是挺好笑的。比较有氛围,1111223962,Gdo142541099,4.5,2
162,成都,,还不错哦，推荐,1111205614,流浪two,4.5,2
163,深圳,,看不懂在讲什么，主要看个热闹,1111229146,lXy663560090,2.5,2
164,长春,,好看，非常完美,1111210480,鲜果巧克力,5.0,2
165,中山,,还不错，挺好的,1111224777,viN709392176,4.0,2
166,呼和浩特,,好看，下次再来！,1111227343,gTl233226649,5.0,1
167,昆明,,很搞笑，总共有四个个胡故事都很搞笑,1111229114,慧.,5.0,1
168,郑州,,可能是当时心情不太对吧。,1111222969,LYQIAN纯粹,3.5,1
169,临沂,,十分完美！！,1111206602,tHl566814307,5.0,2
170,邯郸,,非常好看的电影,1111223862,TSU975512551,5.0,1
171,瑞安,2,不错lo o tu,1111224749,陈建芳520,5.0,2
172,惠阳,,好看。。。。,1111224734,obb538128336,5.0,2
173,北京,,主题好，内容说真的有点尴尬，除了沈腾那段其他的都一般。,1111227280,BmV722107152,2.5,4
174,焦作,1,好看，去吧试试看,1111205558,郎官869,5.0,2
175,商丘,2,环境很不错，疫情期间都有消毒,1111227262,大王了得,5.0,1
176,汉南区,1,我认为挺有意思的又有喜剧的感觉又有感人的场景,1111197955,李雪姬906,5.0,2
177,南宁,1,不错值了👍,1111210441,美团一韦小宝,5.0,2
178,鞍山,2,每一个短篇都很感人！,1111227227,hny1229,5.0,1
179,聊城,1,好看，不错的！,1111206571,duke8363103,5.0,1
180,宜昌,1,看完后，感触很深。家乡的思念涌上心头，希望我的家乡越来越好,1111222888,李诗贤,5.0,2
181,太原,,很好看哈哈哈,1111223764,Olx958105001,5.0,1
182,秦皇岛,,棒，演员表情太到位了。,1111197923,精彩阿玥i,5.0,2
183,武汉,1,好看视频在线,1111205539,Mr.Sh1,5.0,2
184,成都,,我个人觉得那个外星人啥的很尴尬，剧情不太连贯,1111223732,yuv720366292,4.5,2
185,洛阳,,hai bu cui,1111224623,SOt593385239,5.0,2
186,赤峰,,没看完，暂定这个评价吧。,1111227153,ATD749207191,2.5,2
187,深圳,,还好，啊啊啊啊,1111221939,CNa841449116,5.0,3
188,鄂尔多斯,,太好看了叭，赞,1111221923,NFV801477219,5.0,2
189,鸡西,2,点个赞，看的过程又哭又乐的，很喜欢,1111222816,爱我所爱m,4.5,1
190,长春,,挺不错的一部电影,1111205520,YRQ210699655,4.5,3
191,建湖,,家乡的味道，家乡的温暖。,1111224573,大建314,5.0,2
192,深圳,,不错(*๓´╰╯`๓)♡,1111222772,Sleep.zZ,4.5,2
193,开封,,非常棒！值得一看,1111221865,焱焱的宝贝,5.0,2
194,南昌,,确实不错的啊,1111223639,ceg906846685,4.5,2
195,泰安,2,非常好看，喜欢看哭了,1111222740,zpa749504872,5.0,3
196,江津,,挺不错的，挺不错的,1111137675,GRP584562822,4.5,2
197,北京,,电影非常感人,1111210359,jCb202670261,4.5,3
198,孝感,2,不错的值得看,1111222688,y乐乐718,4.0,2
199,石嘴山,2,好看，感人？,1111222681,嗳sg依旧,5.0,2
200,贵阳,,好👌🏻好👌🏻好,1111222670,Yangfang5201314,5.0,2
201,郑州,1,感动，搞笑，该有的都有了，麻花的喜剧绝了，希望这样的内容，明年十一再炮制一份。,1111221770,胭脂梦,4.5,3
202,西安,2,搞笑的人演搞笑的喜剧，好看,1111187524,赵大宝3210,5.0,3
203,株洲,2,好看，好评！,1111221751,dh2004012542,4.5,2
204,晋江市,1,好好玩哦你们是不是很高的人吗哦,1111220939,箭破长空,4.0,2
205,上海,,很好看哦！嘻嘻,1111210337,ai笨蛋的丫头,4.5,1
206,海口,1,同事没时间配送送,1111222601,wjz不煽情,4.5,2
207,临沂,2,很值得观看的电影,1111224340,心动.,5.0,1
208,哈尔滨,,电影非常搞笑 ,1111220860,祈风359,5.0,2
209,义乌,1,很好看的……,1111224327,zyx756,5.0,3
210,惠州,,真的超级超级好看,1111223461,浅anna,5.0,3
211,上海,,挺好看的，难得一家三口一起,1111223459,芭芭拉2009,5.0,3
212,上海,,"好看、最后一刻的时候看哭了都
",1111221657,tgz941866164,4.5,1
213,包头,,好看，笑中带泪,1111221653,a木木夕木目心,5.0,2
214,德州,1,我和我女朋友分手了,1111205405,北极星,1.0,2
215,盐城,,😉😊😉😉😉,1111224283,HSh974219212,3.0,2
216,常州,,一直想看，感人,1111223396,羊7779,4.0,2
217,台州,,好看非常好看,1111187487,陶晶贝,5.0,2
218,桐庐,,特别好看，温馨感人,1111221562,Jgs202316260,4.5,3
219,郑州,,超级好看，又催泪又有趣,1111220732,帝梓莘,5.0,3
220,乌鲁木齐,,好极了吧。。。。,1111187481,不信就算了呗,4.5,2
221,锦州,,每一个故事滴很喜欢,1111220706,qyU493475574,5.0,2
222,鞍山,1,河北大口大口喝不错哦,1111224174,沈勃龙迪,5.0,2
223,巢湖,,很好看，值得票价,1111187474,hyt黄有成,4.5,2
224,沈阳,,啊啊啊啊好！,1111210252,ksG590093201,4.5,2
225,吉安,2,真的很喜欢，看得很想哭，演的很好。,1111205358,RichZ.,5.0,1
226,如东,,"非常好看，非常精彩
",1111187459,江坐妹狼,5.0,2
227,贵阳,2,好看，非常喜欢,1111221459,玥婷团购,5.0,2
228,长沙,,可以🉑🉑🉑,1111210239,林阿娆,4.5,2
229,盐城,1,电影很好看。。。。,1111220639,夏星辰001,5.0,2
230,昆明,,值得推荐，家乡越来越美，也有人越来越喜欢回乡，祖国日益强大，生活中并没有发现，看完电影后回头一看，还真是这样，为自己是一位中国公民而自豪,1111222331,EVX817635394,5.0,2
231,北京,,命题好纸质你会后悔,1111210227,爺1354620001,4.5,2
232,烟台,,十分感人，十分好评,1111221405,qlb6658,5.0,2
233,曲靖,,还挺不错的。,1111197711,大胖345,3.5,2
234,桂林,,这部电影好好看呀,1111222278,wXW982319829,5.0,1
