,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
173,茂名,,好看每个人都很喜欢,1110974242,Myyyyyyy7,5.0,2
174,抚顺,,很好看。。。,1110975033,Xlx609272723,5.0,2
175,七台河,,非常好看推荐,1110971102,wme448371401,5.0,2
176,长沙,,电影一般般吧,1110964397,肥宅小芳芳,4.0,2
177,牟平,2,不错的一部电影,1110955825,oaW360453139,5.0,3
178,忻州,,好，看，的。,1110952613,mXk378100660,5.0,2
179,洛阳,,必须支持一下,1110928751,固执？,5.0,2
180,广州,,不错     ,1110928664,H810256727,4.5,2
181,中山,,有些血腥，但总体还不错,1110877270,gGZ493853102,2.5,2
182,深圳,1,比第一部少了兄弟情，耶穌算保住掃毒這個排頭,1110922549,歡迎你仆街,4.0,3
183,苏州,,haokan,1110943010,DJCJJ,5.0,2
184,苏州,1,给大家都觉得就到家很沉很急,1110901963,GRD434924780,5.0,2
185,成都,,一般般吧……,1110923843,海阔天空～～～～,3.5,2
186,百色,1,可以很好jas,1110919606,oo靓仔17,5.0,2
187,舟山,,....njjj,1110924152,dte怪咖,5.0,2
188,昆山,,还可以，剧情不错,1110915812,芭樂配荔枝,4.5,2
189,济南,,过程有点惊奇,1110918366,zCx851463922,3.5,2
190,长沙,1,"好看
值得看",1110914094,江笙城、,4.5,2
191,宜兴,,好看！好看！,1110909046,dIS735385372,4.5,3
192,济南,2,是我喜欢的类型,1110907169,养乐多软糖Zz,5.0,3
193,武汉,1,还比较好吧！,1110893140,板桥小浣熊,5.0,2
194,中山,2,一般般的……,1110878169,VRm180304287,4.0,2
195,杭州,,超级超级喜欢,1110895869,wz030709。,5.0,2
196,乌海,,总体还是不错的，,1110894875,Mep887657902,4.5,2
197,广州,,心情还是很震撼的,1110885840,陈颖琳619,4.0,2
198,江油,,可以，就喜欢看这种,1110887379,AbX469422616,5.0,2
199,秦皇岛,,非常好的呢地,1110861620,IpK520135126,4.5,1
200,深圳,,很有感觉特别喜欢,1110865400,Sleepxqx,4.5,2
201,都江堰,,我不太喜欢这种……,1110874470,野马妹,4.0,2
202,鞍山,,古校长帅的不行了,1110871724,ExtremeC,5.0,3
203,南京,1,演技非常好！,1110873358,lupuzi,4.5,2
204,广州,1,很不错的电影，可惜一起看电影的人已经不在身材了,1110864085,倾兮,5.0,2
205,郑州,,好看，海星吧,1110856870,卡尼米撒嘛,4.0,3
206,临沂,,很棒的电影，,1110859155,君临天下HOT,5.0,2
207,临沂,1,完全看在华仔的脸给8分,1110836809,tqE578515654,4.0,2
208,潍坊,,好看非常好看,1110852529,lEB359935795,5.0,2
209,牡丹江,,回家记录一下,1110855172,芊彤mm,4.5,2
210,柳州,,挺好看的🥑……,1110836473,GY高雨！,4.0,3
211,温州,,好看的皮囊千篇一律,1110848969,侯刚1987,5.0,2
212,郑州,,噢噢噢好吧好吧好吧我错了还不行吗，在,1110851690,哈哈嘻嘻啪啪啪,4.5,2
213,江阴,,黄沙古渡改变世界,1110851158,JTI807011973,4.0,4
214,郑州,1,不哦哦拉我进去咯哦,1110850161,须弥纳芥子326,4.5,3
215,深圳,,一切皆好。一切,1110823724,fLx602283367,5.0,2
216,成都,,一直很喜欢这种风格,1110844861,ebS523415140,4.0,2
217,沭阳,,啊？！！！！嗯ヽ(○^㉨^)ﾉ♪,1110840720,cbj240888861,5.0,2
218,陕州区,,不错的观影感受，很真实,1110815234,HzE407078041,4.0,1
219,广州,,好好看，不错,1110832160,梁耀斌,5.0,2
220,昆明,,很好 ！！！,1110818911,xYe966873001,5.0,1
221,克拉玛依,,这个电影很不错的,1110813475,zmm7183296,5.0,2
222,中山,,牛逼的电影好看,1110809024,panzhzhh,5.0,1
223,峨眉山,1,好看的很哦，,1110798862,omg小波,5.0,2
224,北京,1,喜欢这部电影！,1110789038,北落瑡门,5.0,3
225,乐清,1,很好不错不错,1110791987,ZXZ那些年,4.5,3
226,武汉,,刺激，喜欢古天乐,1110791030,DAV616078451,5.0,3
227,太原,1,比的房间的复***,1110775903,睡狮V已醒,5.0,2
228,太原,,很赞，值得推荐,1110765260,栋！！！,5.0,1
229,璧山,,不错不错哈哈,1110762758,tTG923391054,4.5,2
230,长春,,好看期待下部,1110725365,gaD216547307,3.5,2
231,苏州,,华仔的电影就是好看的！,1110751774,外卖是不是到了,5.0,3
232,重庆,,很好看。不错。,1110742840,GUCCI417,5.0,3
233,驻马店,1,我觉得还可以，那些评价低的可能都是大导演吧。,1110745253,Yoozx,4.0,2
234,武汉,,挺好的挺好的,1110744237,就叫Lch吧,5.0,4
235,成都,,很好咯。演技不错。,1110741361,我会吃会做,5.0,2
236,梅州,,还不错，好看,1110722388,越川1,4.5,2
237,伊宁,,喜欢的风格！,1110722159,ZtZ822008983,4.5,3
238,郑州,,炒鸡好看哦 值得,1110733421,kSz693176501,5.0,2
239,成都,,很好看(｡･ω･｡)ﾉ♡,1110734239,麻辣小龙虾low,5.0,2
240,成都,2,好看，适合观看,1110729490,egn224141630,5.0,2
241,广州,,有古仔先来的,1110726676,叼你哀主,5.0,2
242,呼和浩特,2,非常好看，，，，,1110728011,ai忘记,5.0,2
243,海口,2,好看，好看，,1110723735,w文以轩,5.0,2
244,深圳,2,情节还不错，,1110726320,小虾米的奶奶,5.0,2
245,西安,1,影帝级大片，赞,1110726283,妹妹饲养员,5.0,3
246,肇庆,,电影很好看。,1110693358,KqU250071291,5.0,2
247,广安,,还可以，支持,1110704552,蒋先生5158,3.5,2
248,上海,,very nice。,1110718771,zwc517267248,5.0,3
249,南京,,好看好看😊,1110720055,南方gjh,5.0,3
250,武汉,,一般般   在,1110719392,UbY621289849,3.5,2
251,日照,, 忘了演的啥 反正华哥演的肯定不差 给个好评,1110716841,战梦姣啊,5.0,2
252,延边,2,好看真的好看,1110717503,玻璃碴子扎人,5.0,2
253,台山,,看的人胆战好看,1110718022,UZR871060380,4.5,2
254,拉萨,1,一般吧。。。,1110695593,cctise,3.0,2
255,郑州,2,很好看啊啊啊啊,1110710581,wHL819256545,4.5,2
256,西安,1,很不错，值得拥有,1110712395,樊泽羽先生,4.5,2
257,聊城,,嗯！不错不错，,1110708683,只是肉多一点,4.5,2
258,郑州,,随手好评随手好评,1110707843,xNY1359812,4.0,2
259,苏州,,精彩精彩，挺好看,1110712260,RkX590378221,4.5,4
260,漯河,,还行，看到最后也没明白,1110708551,AhD625578772,4.5,4
261,东莞,,古校长没话说,1110713127,揸本田的光记,5.0,2
262,怀化,,满意！很好看,1110702000,FZf854431437,5.0,2
263,咸阳,2,勇！总之就是好,1110703262,萨比西呐,5.0,2
264,阆中,2,"真的太棒了
",1110700870,古,5.0,2
265,深圳,,还可以，，，，,1110698888,QKg789594483,3.5,2
266,长沙,,小孩吵着下次还来,1110701280,KdZ716524652,4.5,3
267,新密,1,感觉还是不错的,1110698456,@欲,4.5,2
268,长沙,,还不错的电影。,1110692903,Wyq0319,4.0,2
269,昌吉,,不错的一部电影,1110694971,supermeate,5.0,2
270,常州,,👏👏👏,1110662333,岱川y,4.5,3
271,九江,1,精彩，剧情紧凑，演技贼好,1110662244,千山鸟飞JUE,5.0,2
272,遂川,,很好推荐大家购买,1110686770,Gfeng888888,5.0,2
273,珠海,,看不惯这种电影,1110687208,exolwy,5.0,3
274,长沙,,还不错，，，,1110687040,NImo_9613,3.5,3
275,葫芦岛,,你也从来没有跟我说过对不起,1110686354,DkA561994463,5.0,2
276,吕梁,1,国产电影加油,1110683707,PrY704674752,5.0,2
277,白山,,很好看，值得推荐,1110676075,Lcr848927864,5.0,2
278,营口,1,很好看，很好看,1110682688,Att873928190,4.5,2
279,威海,,好看，挺不错的,1110682567,CpA996288567,4.5,2
280,成都,,给哈狗和高后给,1110673160,通江的放牛娃,5.0,2
281,南昌,,好看！！！！,1110658970,吕年丽,4.5,2
282,滨州,,VIP感觉不错 体验很好 很爽 音效也超级棒 太空椅很舒服 超级开心,1110673117,亲爱的这不是爱情,5.0,3
283,长沙,,太好看了，非常刺激。,1110680821,cj38383838,4.5,2
284,齐齐哈尔,2,喜欢古天乐，喜欢这部片子,1110666472,美惠107,4.0,2
285,深圳,,这个电影非常棒。,1110673034,佳佳琉,4.5,2
286,广州,,电影不错，很好用，很喜欢。,1110681213,POTTICHANqq,5.0,2
287,天津,2,不错 挺好看,1110678677,wlN949759326,4.0,3
288,九台,,剧情不错。。,1110658771,PPPao1128,4.0,2
289,无锡,,还可以吧，习惯了自己一个人看电影,1110654890,vVg691394963,4.5,3
290,南京,2,好看，港剧风格都差不多,1110666298,秋之韵致,3.5,2
291,拉萨,2,剧情还不错。,1110652782,JHW528438439,4.5,1
292,深圳,,不错 好看，不错,1073828814,Diu957468086,4.5,3
293,安化,2,好看，有古天乐的都好看,1110670987,Uhw662531781,5.0,2
294,深圳,,非常的好看哦,1110677216,ds1201,4.5,2
295,惠阳,,精彩，值得一看,1110652614,Exe390908848,4.5,2
296,武汉,1,可以，值得看,1110670609,whql123,4.0,1
297,宜春,1,好久了才来评论,1110665985,yjjiq008,4.5,3
298,杭州,,好看，好看特别好看。,1110664801,YF323232,4.5,4
299,汝城县,1,明星阵容很强大,1110654201,mJl183414308,4.5,2
300,薛城,2,还可以.就是觉得没有想象中的那么好.,1110652116,杨三岁,4.0,2
301,徐州,2,好看值得看的,1110664300,东雪kai晴,4.5,3
302,广州,,很喜欢的演员，好,1110661550,花花883344,5.0,2
303,上海,,太好看了，影帝对飙演技,1110652007,水云间秀丽301,5.0,2
304,广州,,很不错，推荐看,1110659551,是小叮当呀1,5.0,3
305,武汉,,近几年港片也没什么新意了，将就看看,1110653549,wuhantiger,4.0,2
306,厦门,,还可以吧😄,1110655354,小楼一夜听春雨？,3.5,2
307,嘉善,1,还不错的一部电影,1110653137,xkstop1,4.5,2
308,海门,2,可以看一下，还不错,1110639255,vwH243423737,4.5,2
309,南宁,,非常好看。非常,1110648912,APo726173038,5.0,2
310,南通,2,为了古天乐去看的，超好看。,1110649761,夏夏女士,5.0,2
311,泰州,,挺好 没来看,1110636378,Bat493307097,5.0,2
312,郑州,,第一次和老板一起去看的,1110648652,whys·,5.0,2
313,上海,,阔以，阔以。非常棒👍🏻,1110635307,NDX570569406,4.5,3
314,东莞,,电影还不错。,1110635272,ZjL459062732,3.5,2
315,苏州,1,好看 非常好看,1110649334,Aqr409848933,5.0,1
316,南京,1,不错很好看！,1110568456,腰摇舀药,5.0,1
317,瑞安,1,还可以 不错呢！,1110639026,随wo心情,5.0,3
318,广州,,港片才有味道,1110644893,MR.JoeW,5.0,3
319,哈尔滨,2,特别震撼，值得一看！,1110644809,tear不落,5.0,2
320,深圳,2,好看好看 推荐,1110619950,a五花肉嗯,5.0,3
321,丽江,,阔以，阔以。非常棒,1110645225,罗大帅公子,5.0,2
322,重庆,,安耐晒看动漫的拉夫罗夫了,1110636003,uYg248627086,5.0,2
323,阜新,,中规中矩，男神还是帅的,1110614932,_alipay854846781,3.5,2
324,鄂尔多斯,2,非常好看的片子,1110641673,薛琪123,5.0,3
325,杭州,2,真的非常好看,1110641667,你们学姐,5.0,3
326,莱州,1,🐮🐮🐮🐮,1110642431,张屁屁_,4.5,2
327,瑞安,2,内容很好看，,1110643430,慕牧0104,5.0,2
328,荆州,2,可以 很好看,1110640875,a373966752,5.0,3
329,深圳,1,好看，看的很激情,1110643174,农村老户口,5.0,2
330,泉州,,太久了，忘了！,1110643175,沙志展,5.0,1
331,北京,2,好看好看看不够,1110643154,脾气差的长腿欧尼,5.0,1
332,顺德,1,震撼的一部电影,1110640341,eXR434745574,5.0,3
333,广州,2,嗯，挺好的，不错,1110631771,慕枫3639,4.0,1
334,武汉,,还可以……不能出去一下……这里也很美腻,1110637344,香虞,4.5,2
335,南宁,1,有毛病，非要打字,1110631611,Mryao12,5.0,1
336,怀化,,挺好看的！赞,1110634357,是小可爱吖777,4.5,3
337,沈阳,,邪不压正。bang,1110628973,李尚妍是猪,5.0,2
338,芜湖,1,情节很不错，,1110626560,qra495173974,4.5,2
339,杭州,,本来是想买另外一部电影，不小心买错了，但是进场之后意外惊喜的好看,1110625579,啦啦啦郑掰掰,5.0,2
340,杭州,,超好看喜欢好,1110598240,可KeXin鑫,5.0,2
341,广州,,挺不错的 两大影帝在线飙戏 ,1110614055,CHNAyang,4.5,2
342,武汉,2,还可以。。。,1110622295,游锕游锕游锕游,4.0,2
343,清远,2,好看！！！！,1110620670,周柏豪pakho9468,5.0,2
344,贵阳,,好看，好看，,1110623208,Trace839,5.0,2
345,南京,2,非常好看哈哈😃,1110622080,XnB493524404,4.5,2
346,上海,,老套剧情，还可以。,1110621284,awuzoe,2.5,3
347,西安,,表示没看懂，,1110620368,扛枪野男,0.5,2
348,深圳,,很精彩值得一看,1110616896,Msu171600851,4.5,2
349,泰州,,跟两对情侣一起看的,1110609086,阿静仙女,5.0,3
350,西安,1,不错的很好的,1110603435,山楂树丛,3.5,2
351,松原,2,时间太长了，都有点忘了，哈哈,1110611925,呼延馨,5.0,2
352,杭州,,很好，很棒，,1110611843,nZN522043066,4.5,1
353,郑州,2,还可以，太吵,1110615302,WcB700727587,3.5,2
354,三明,1,没有想象中好看,1110595431,tjI338981166,3.5,2
355,吴江,2,可以可以的啊,1110589761,猫街后巷小年,5.0,2
356,广州,1,很好，很棒吧,1110567800,那歧215,4.5,3
357,宁乡,,步梯还是要自己吃的,1110611225,密疯子1989,1.0,2
358,东莞,,剧情好，好看,1110608516,成安良,5.0,2
359,内江,1,剧情一般、BGM可以，唉看这片的时候她还没离开我，物是人非,1110606817,mi米妮ni,2.5,3
360,咸阳,,挺好看，喜欢,1110567745,dzs530,4.0,2
361,重庆,,蛮好看的哈哈哈,1110605839,要做他的猫,4.0,2
362,深圳,,早已看完，好看,1110608198,晴天娃娃927,5.0,2
363,营口,,可以，还不错哦,1110608193,a朵朵妈咪a,0.0,1
364,南京,,很好看很喜欢,1110607445,pYI682553079,4.5,4
365,佛山,,很棒 值得推荐,1110605556,jIN114505587,5.0,3
366,东莞,,香港的电影一直不错,1110567598,裤裆下有妖气,4.0,2
367,重庆,,挺喜欢的一部电影,1110579814,可爱心事,4.5,3
368,岳阳,,😛😛😛,1110600555,CHB603641560,5.0,2
369,北京,2,挺好看的，不错,1110582566,claire_nini,4.0,3
370,新密,,好看，喜欢古仔,1110600475,eEi928787838,4.5,3
371,大连,1,还好吧。。。,1110600349,Mr＆ZhEnG,3.5,3
372,北京,,还没看呀啊啊啊,1110597873,yy277843283,2.5,2
373,如东,1,好看，阵容不错,1110601296,pyw万能神,4.0,2
374,海沧,,可以的可以的,1110582466,chu492559116,5.0,2
375,南通,,一般般普通的,1110597824,莫烊,3.5,2
